ENTIDAD;PROVINCIA;PÁGINA WEB 
ASOCIACIÓN ARRAIANAS;A CORUÑA;https://www.arraianas.org/es
ASOCIACIÓN BENÉFICA RENACER;A CORUÑA;https://renacercoruna.org/
ASOCIACIÓN DE MOVILIDAD HUMANA;A CORUÑA;https://mhumana.org/
ASOCIACIÓN PARA A PROMOCIÓN SOCIAL E A INSERCIÓN LABORAL PLATAFORMA POLO;A CORUÑA;https://www.plataformapoloemprego.org/
EMPREGO ONG MESTURA;A CORUÑA;https://www.ongmestura.es/
PATRONATO CONCEPCIÓN ARENAL;A CORUÑA;
SOS RACISMO GALICIA;A CORUÑA;https://sosracismo.eu/sos-racismo-galicia/
VIRAVENTOS;A CORUÑA;https://viraventos.org/
ASOCIACIÓN PARA LA INTEGRACIÓN SOCIAL ALIETXEA;ÁLAVA;
IRSEARABA S.COOP;ÁLAVA;https://www.irsearaba.eus/
ASOC. DE PROFESIONALES EXTRANJER@S DE EUSKADI-PRESTATURIK;ÁLAVA;https://prestaturik.org/
ASOCIACIÓN DE REINSERCIÓN SOCIAL SARTU-ÁLAVA;ÁLAVA;https://alava.sartu.net
ASOCIACIÓN KUÉNTAME ATENCIÓN CENTRADA EN LA PERSONA;ÁLAVA;https://kuentame.weebly.com/
ASOCIACIÓN COLECTIVO DE APOYO AL INMIGRANTE;ALBACETE;https://acaim.es/
ASOCIACIÓN POR EL DESARROLLO SOSTENIBLE DE ALBACETE;ALBACETE;https://adesalbacete.wordpress.com/
ASOCIACIÓN MÓN JOVE;ALICANTE;https://monjove.wordpress.com
ASOCIACIÓN ALMERÍA ACOGE;ALMERÍA;https://www.almeriaacoge.org/
ASOCIACIÓN AT-TAWBA;ALMERÍA;
COAG ALMERÍA;ALMERÍA;https://coagalmeria.com/
HERMANAS OBLATAS DEL STSMO REDENTOR;ALMERÍA;https://hermanasoblatas.org/
HUMANITARIOS SIN FRONTERAS;ALMERÍA;https://humanitariossinfronteras.com/
ASOCIACIÓN DE MUJERES LATRÉBEDE;ASTURIAS;https://latrebede.wordpress.com
ASOCIACIÓN MUYERES PACHAMAMA;ASTURIAS;
XEGA (COLECTIVO LGTBIAQ+ DE ASTURIAS);ASTURIAS;https://www.xega.org/
ASOCIACIÓN UNIVERSIDA;ÁVILA;
EUEXIA RURAL;BADAJOZ;https://euexiarural.com/
FUNDACIÓN RUY LÓPEZ;BADAJOZ;https://fruylopez.blogspot.com/
MOVIMIENTO DE MUJERES MIGRANTES DE EXTREMADURA;BADAJOZ;https://lasmigrantas.org/
ASOCIACIÓN CATNOVA;BARCELONA;https://www.catnova.cat/
ASOCIACIÓN MUJERES PALANTE;BARCELONA;https://www.mujerespalante.org/
ASSOCIACIÓ DE VEÏNS LA FLORIDA;BARCELONA;
ASSOCIACIÓ NOVES VIES;BARCELONA;https://www.novesvies.com/
CÁRITAS DIOCESANA DE BARCELONA;BARCELONA;https://caritas.barcelona/es/
FUNDACIO CIUTADANIA MULTICULTURAL-MESCLADIS;BARCELONA;https://mescladis-org.b.iwith.org/es/
FUNDACIÓ MOLÍ D'EN PUIGVERT;BARCELONA;https://www.fundaciomoli.org/
FUNDACIÓ PRIVADA GUNÉ;BARCELONA;https://fundaciogune.org/
FUNDACIÓN INDIAN CULTURE CENTRE;BARCELONA;https://culturaindia.cat/es/
FUNDACIÓN PRIVADA FICAT;BARCELONA;https://www.ficat.org/es/
FUNDACIÓN ÀMBIT PREVENCIÓ;BARCELONA;https://fambitprevencio.org/
LAFUNDICIO, SCCL;BARCELONA;https://lafundicio.net/
MUJERES UNIDAS ENTRE TIERRAS;BARCELONA;https://mujeresunidasentretierras.org/
SINDIHOGAR;BARCELONA;https://sindihogar.org/
ASOCIACIÓN BAIZARA;BIZKAIA;https://baizara.org/
ASOCIACIÓN CLARETIANA PARA EL DESARROLLO HUMANO SORTARAZI;BIZKAIA;https://sortarazi.org/
