ENTIDAD;PROVINCIA;PÁGINA WEB 
ASOCIACIÓN RADIOCLUB CERES;GRANADA; 
CENTRO SOCIOCULTURAL ZAIDIN;GRANADA;https://csczaidin.wordpress.com/
GRANADA ACOGE;GRANADA;https://www.granadaacoge.com/
ASOCIACIÓN ARRATS;GUIPUZKOA;https://www.arrats.org/  
CÁRITAS DIOCESANA DE SAN SEBASTIÁN;GUIPUZKOA;https://www.caritasgipuzkoa.org/es/ini cio
HAURRALDE FUNDAZIOA;GUIPUZKOA;https://haurraldefundazioa.org/  
MALEN ETXEA, ASOCIACIÓN DE MUJERES INMIGRANTES;GUIPUZKOA;https://malenetxea.org/
TXINGUDIKO ELKARTE FEMINISTA;GUIPUZKOA;https://www.irun.org/es/entidades-servicios/25-asociacion-txingudiko-elkarte-feminista?iden=7334
ASOCIACIÓN NUEVA CIUDADANÍA POR LA INTERCULTURALIDAD;HUELVA;https://asnuci.org/inicio
FUNDACIÓN EUROPEA PARA LA COOPERACIÓN NORTE SUR;HUELVA;https://fecons.org/
HUELVA ACOGE;HUELVA;https://huelvaacoge.org/
ASOCIACIÓN PROYECTO JAÉN SOLIDARIO;JAÉN;https://jaensolidario.es/  
ASOCIACIÓN SOLIDARIOS SPORT;JAÉN;https://www.facebook.com/p/Solidarias-Sport-ONG-100064304664933/
UNIÓN DE PEQUEÑOS AGRICULTORES Y GANADEROS DE JAÉN;JAÉN;https://upa.es/jaen/   
ASOCIACIÓN BENÉFICA CANOA SOLIDARIA;LAS PALMAS;https://canoasolidaria.org/es/Paginade-inicio/   
ASOCIACIÓN CANARIA DE MEDIADORES INTERCULTURALES;LAS PALMAS;https://www.acamei.org/ 
ASOCIACIÓN SOCIAL, SANITARIA, CULTURAL, EDUCATIVO, CIENTIFICO Y DEPORTIVO ACCIONES UNIDAS;LAS PALMAS;https://www.asociacionaccionesunid as.com/
ASOCIACIÓN SOCIO CULTURAL ENTRE MARES;LAS PALMAS;https://entre-mares.org/
FEDERACIÓN DE MIGRANTES EN LANZAROTE- FEDEMILANZ;LAS PALMAS;https://fedemilanz.com/   
ASSOCIACIÓ FRUITA AMB JUSTÍCIA SOCIAL;LLEIDA; https://fruitaambjusticia.cat/   
FUNDACIÓN AGRICULTORES SOLIDARIOS;LLEIDA;https://www.pagesossolidaris.org/es/  
BUMEI GALICIA: BUENAS PRÁCTICAS, MUJER, EMPLEO, INCLUSIÓN;LUGO;https://www.bumeigalicia.com/inicio
"ACULCO ""ASOCIACIÓN SOCIO-CULTURAL Y DE COOPERACIÓN"" ";MADRID;https://aculco.org/
AGENCIA ADVENTISTA PARA EL DESARROLLO Y RECURSOS ASISTENCIALES;MADRID;https://adra-es.org/
AMÉRICA, ESPAÑA, SOLIDARIDAD Y COOPERACIÓN (AESCO);MADRID;https://ong-aesco.com/   
ARCÓPOLI;MADRID;https://arcopoli.org/   
ASOCIACIÓN ACCIÓN TRIÁNGULO;MADRID;https://acciontriangulo.org/   
ASOCIACION ALBA;MADRID;https://www.asociacionalba.org/
ASOCIACIÓN AMAR DRAGOSTE;MADRID;https://amardragoste.org/   
ASOCIACIÓN APOYO;MADRID;https://asociacionapoyo.blogspot.co m/   
ASOCIACIÓN CESAL;MADRID;https://www.cesal.org/   
ASOCIACIÓN COLECTIVO AGAR ESPACIO DE INVETIGACIÓN Y ENCUENTRO  DESDE LA DIVERSIDAD;MADRID;
ASOCIACIÓN CREANDO HUELLAS;MADRID;https://creandohuellas.org/
ASOCIACIÓN DE DESCENDIENTES DE ESPAÑOLES EN EL MUNDO (ADEM);MADRID;www.soydescendiente.es   
ASOCIACIÓN DE MUJERES EMPRESARIAS IBEROAMERICANAS AMEIB PACHAMAMA;MADRID;https://www.asociacionpachamama.o rg/
ASOCIACION EL OLIVAR;MADRID;https://www.asociacionelolivar.org/  
ASOCIACIÓN ESLABÓN INICIATIVAS DE PROMOCIÓN DE EMPLEO;MADRID;https://eslabon.org/   
ASOCIACION RUMIÑAHUI;MADRID;https://www.ruminahui.org/  
ASOCIACIÓN SERVICIO DOMÉSTICO ACTIVO - SEDOAC;MADRID;https://sedoac.es/
COMISIÓN ESPAÑOLA DE AYUDA AL REFUGIADO (CEAR);MADRID;https://www.cear.es/
COMISIÓN PARA LA INVESTIGACIÓN DE MALOS TRATOS A MUJERES;MADRID;https://malostratos.org/
CONFEDERACION DE COMISIONES OBRERAS;MADRID;https://www.ccoo.es/
FUNDACIÓN ALTIUS ESPAÑA;MADRID;https://www.fundacionaltius.org/   
FUNDACIÓN CEPAIM ACCIÓN INTEGRAL CON MIGRANTES;MADRID;https://www.cepaim.org/
FUNDACIÓN ENTRECULTURAS - FE Y ALEGRÍA;MADRID;https://www.entreculturas.org/
FUNDACIÓN IBN BATTUTA;MADRID;https://www.fundacioibnbattuta.org/?l ang=es  
FUNDACIÓN JUANJO TORREJÓN;MADRID;https://fundacionjuanjotorrejon.org/  
FUNDACIÓN LA MERCED MIGRACIONES;MADRID;https://lamercedmigraciones.org/  
LA RUECA ASOCIACIÓN;MADRID;https://larueca.org/  
MOVIMIENTO POR LA PAZ, EL DESARME Y LA LIBERTAD;MADRID;https://www.mpdl.org/
MUNDO EN MOVIMIENTO;MADRID;https://www.mundoenmovimiento.org
ONG RESCATE INTERNACIONAL;MADRID;https://ongrescate.org/
PROVIVIENDA;MADRID;https://provivienda.org/  
RED ACOGE;MADRID;https://redacoge.org/  
RED SOS REFUGIADOS EUROPA;MADRID;https://sosrefugiados.org/  
SAN RICARDO PAMPURI;MADRID;https://www.casadesanantonio.es/  
SERVICIO CAPUCHINO PARA EL DESARROLLO Y LA SOLIDARIDAD;MADRID;https://www.sercade.org/
SERVICIO JESUITA A MIGRANTES-ESPAÑA;MADRID;https://sjme.org/
ASOCIACIÓN MARROQUÍ PARA LA INTEGRACIÓN DE LOS INMIGRANTES;MÁLAGA;https://www.asociacionmarroqui.com
ASOCIACION MUJERES PROGRESISTAS LA MITA DEL CIELO;MÁLAGA;https://mitaddelcielo.org/
FUNDACIÓN PROLIBERTAS;MÁLAGA;https://www.prolibertas.org/
MÁLAGA ACOGE;MÁLAGA;https://malaga.acoge.org/  
PRODIVERSA.PROGRESO Y DIVERSIDAD;MÁLAGA;https://prodiversa.eu/   
ASOCIACIÓN MELILLA ACOGE;MELILLA;https://acoge.org/melilla-acoge/   
ASOCIACIÓN  COLUMBARES;MURCIA;https://columbares.org/   
COMITÉ DE APOYO A LAS TRABAJADORAS DEL SEXO (CATS);MURCIA;https://www.asociacioncats.es/
ASOCIACIÓN ITXAROPEN GUNE;NAVARRA;https://www.itxaropengune.org/
ASOCIACIÓN POSTHAC, ENTIDAD SOCIAL POR EL EMPLEO;NAVARRA;https://posthac.org/
ASOCIACIÓN SARE;NAVARRA;https://sare-vih.org/
